OTU_ID	sample_1544	sample_1552	sample_1827	sample_2208	sample_1800	sample_1575	sample_2147	sample_1812	sample_1811	sample_1451	sample_1300	sample_1728	sample_476	sample_1400	sample_676	sample_1663	sample_1388	sample_1495	sample_1576	sample_1284
P_66	2731128.0415362823	3854683.339114117	2826070.3706793576	3382908.079300428	5427894.38953662	2674875.4530854425	3856876.978243343	5847877.196124973	4100239.835544144	4125569.349412506	4229754.553564933	4255995.424955901	0.0	2981908.955138433	3151981.947931016	3394193.806306705	5096693.563729052	2727109.8771530334	2542864.826606217	4046610.7828779537
P_67	2218042.3497147257	1858153.497800688	2433830.014315136	2715749.1125464435	2294861.2981860875	2838144.631864761	2449732.15086374	2914208.9368323525	2999701.069135572	3058474.471435363	3124671.67606596	2480062.13355241	0.0	2446756.170710577	2404000.8578510443	2603990.9729161514	3730054.823661557	2336018.980523726	2280153.6525651114	2565429.086274885
P_68	3670929.114236694	4309110.256298306	4837149.538242596	3910976.1516550905	9305295.891902294	3623071.295662028	4930817.793400136	8497198.957291441	5666537.35499482	6687840.140519599	4213476.541463704	5544365.527465156	0.0	3748473.288869108	4502051.773424397	7167412.647241236	9844351.67234873	3883369.269072764	3273320.032022429	5372247.895613162
P_69	4161335.748366359	4294246.582038316	4580245.218132103	4354608.715577835	5358730.335619564	3769396.878168707	5506134.208489018	6644849.996092692	6582066.278649818	5939596.336180483	8199112.582040583	5533368.8307636855	0.0	5105977.766242925	4602414.030575365	2922707.2634495394	5884466.563060949	4676702.283151076	5014686.22722333	5553618.838273487
P_70	6758096.925735724	3993883.7038532295	6895459.656290289	7549125.657814829	16029301.470799388	7094858.850551395	7384414.036174279	7359403.783415022	7043954.47053251	7501051.378152383	7101515.611648236	6792833.498339013	0.0	5160585.319330252	6329261.048268018	6718527.459468541	9167763.98896378	4579247.262929471	4428981.477908858	7285475.037002522
P_71	1878115.4462637068	1803885.7937476267	2536792.3231009184	1910773.5889701007	3818825.330742701	2132102.332890613	2518490.5961021283	2735302.876315981	3233267.516399479	2957933.847011396	2707405.6907092207	2232855.5335076977	0.0	1879566.186822474	1967287.953543458	2834637.3396533844	4273092.330540317	2019832.655818357	1845992.9697222936	2388551.006683992
P_72	3963269.312700474	3734128.341987563	3581777.7442006776	2985862.001642972	10117844.855612844	3470879.7215131256	7065587.225071714	4574438.984524675	4823478.007799984	4157583.773233933	5091760.837249927	4573386.531465964	0.0	3707703.308595974	4283123.236336374	4169164.2119544256	6471823.524244279	3008526.4109040424	3209744.9591107173	6010548.078097638
P_73	1309673.3328315015	1332255.219026689	1496399.0691121835	1547815.7357050476	2033831.1370855884	1596968.770318285	2021389.084649221	1952288.4972312795	2319085.857996158	1845908.1943722947	2386559.852137624	1908037.971878083	0.0	1758258.763547615	1427445.3229279744	1546174.6885842478	2255004.742852927	1785792.7005614685	1551313.3823271312	1909385.6017153235
P_74	3153987.358933328	3684872.5434099706	4071285.642307245	4064745.5093028224	3482686.605248105	5018750.019081342	3131558.641999416	4898109.851565381	7702733.352688432	5034288.925930665	6488129.836639395	5794851.908573338	0.0	3797674.522317453	5764970.230918795	3385513.3318021744	4835179.784187059	5740609.535248141	4919201.380713866	3704211.452803904
P_75	7807163.095580729	6021961.837252741	14772627.492114903	9125154.613976575	17256491.751392372	10404134.200952929	8923302.694758035	15031305.900694162	12931147.835185368	14031866.60319414	8289973.979701923	6870770.381428457	0.0	8968273.015418986	10255781.108466212	29078137.294583447	17375723.82559034	13513515.336465992	7920332.801469651	9874942.652254246
